id,exam_score
630000,75.6430662817967
630001,73.93083382735716
630002,85.1180011631792
630003,54.299790300853076
630004,50.93014835391041
630005,70.71623965478368
630006,65.67300794741783
630007,59.035792566011544
630008,83.17839764349057
630009,96.94989663481192
630010,55.081182266527684
630011,38.56587169344346
630012,53.16179506503557
630013,60.90399929827921
630014,59.28507106637466
630015,69.26851894823646
630016,72.66264962212544
630017,75.36394207148884
630018,67.38350902336997
630019,65.1569995434864
630020,58.376631039284575
630021,65.97947979418694
630022,53.176248469889885
630023,44.416275236541495
630024,57.9193934598446
630025,56.92074934601263
630026,62.90812943062724
630027,43.69019371756977
630028,72.79836606776914
630029,91.82068325727997
630030,91.34461796809038
630031,53.945237698714
630032,72.76821165779322
630033,54.944705012627566
630034,43.75713178014681
630035,45.340324250115025
630036,49.46376802453544
630037,66.57902767319095
630038,37.83766064802041
630039,46.18678856483374
630040,45.690253218818725
630041,77.8462486468794
630042,57.6556914838422
630043,74.82074227361115
630044,58.46779125275366
630045,95.56276074518316
630046,77.54285632823404
630047,50.79688578426246
630048,82.40417783443681
630049,91.99216992667965
630050,67.39374838275967
630051,33.038688976723876
630052,82.46865061242762
630053,74.66993743664115
630054,67.82930519119863
630055,44.95226184241045
630056,51.72140081609339
630057,70.96603253305476
630058,32.37039339005273
630059,76.104888185942
630060,65.02114338169686
630061,35.59235929587338
630062,32.01876727627028
630063,41.469551413886364
630064,68.36776794645336
630065,39.93936624585812
630066,74.62125002796965
630067,40.85446974311219
630068,86.56603466554814
630069,86.63315611854398
630070,79.43069599113882
630071,67.04803848437037
630072,75.13703153772738
630073,68.01302982834005
630074,69.4351283444488
630075,76.23068063916078
630076,97.90633057588184
630077,35.62059126682303
630078,72.48090721748484
630079,49.446048137722194
630080,90.49718681865954
630081,82.0378906489635
630082,36.15289095402821
630083,46.30564563364561
630084,77.48879741458651
630085,87.71803263546752
630086,71.40429217695763
630087,69.89433517072234
630088,69.7051772066762
630089,82.80569242925432
630090,84.95632598064407
630091,76.59812936527405
630092,66.08298062876764
630093,51.090972470121685
630094,56.49444928219805
630095,79.43639132341951
630096,71.33390155134846
630097,61.568635694044296
630098,71.95166690025516
630099,84.249917812007
630100,79.04175289192796
630101,27.791287637451006
630102,34.26787142639988
630103,57.35179555078093
630104,67.0582096329255
630105,42.62642240840002
630106,47.3792034420525
630107,67.44965921294043
630108,35.091563106596
630109,91.775757737047
630110,51.75292731833284
630111,79.38585524984276
630112,84.53531588457966
630113,74.2378000552139
630114,74.28426200345439
630115,63.289132110358985
630116,56.71572491461173
630117,75.19346895397767
630118,67.64264940350408
630119,83.6625900422096
630120,44.16133957022587
630121,60.345517251492524
630122,32.118438845549804
630123,42.417797156098324
630124,73.1138416573142
630125,64.08583445025428
630126,35.17529424093747
630127,57.71122457799897
630128,56.94058358872664
630129,76.10830527791299
630130,40.342680665043886
630131,58.99122041407315
630132,55.00881894220575
630133,75.74427000713501
630134,52.06593902233542
630135,97.51531717057603
630136,56.39842463284952
630137,45.937840888503445
630138,74.85139027067046
630139,47.26374556561306
